iter	Passed	Remaining
0	150	150663
1	153	76479
2	155	51805
3	160	39980
4	163	32586
5	165	27462
6	168	23856
7	172	21369
8	174	19181
9	176	17425
10	178	16031
11	180	14868
12	182	13843
13	187	13202
14	189	12474
15	191	11787
16	193	11211
17	196	10717
18	207	10737
19	209	10278
20	212	9886
21	216	9638
22	219	9304
23	221	9001
24	223	8732
25	227	8536
26	230	8289
27	232	8054
28	233	7824
29	235	7607
30	237	7425
31	242	7331
32	244	7155
33	245	6988
34	247	6833
35	249	6683
36	251	6543
37	255	6476
38	257	6355
39	259	6228
40	261	6108
41	262	5997
42	264	5895
43	266	5800
44	273	5800
45	274	5701
46	276	5613
47	279	5536
48	281	5463
49	285	5425
50	287	5345
51	288	5266
52	290	5189
53	292	5118
54	293	5050
55	295	4982
56	297	4914
57	304	4951
58	306	4891
59	308	4829
60	309	4769
61	311	4717
62	318	4731
63	323	4730
64	326	4692
65	332	4708
66	336	4686
67	339	4649
68	343	4636
69	374	4972
70	648	8481
71	653	8418
72	687	8733
73	706	8834
74	735	9070
75	752	9153
76	787	9434
77	889	10510
78	922	10749
79	936	10769
80	1002	11378
81	1011	11324
82	1013	11202
83	1018	11104
84	1027	11061
85	1058	11250
86	1103	11578
87	1107	11480
88	1112	11391
89	1123	11356
90	1126	11255
91	1134	11199
92	1139	11109
93	1147	11055
94	1157	11025
95	1169	11014
96	1173	10920
97	1179	10852
98	1181	10749
99	1183	10654
100	1187	10565
101	1197	10540
102	1226	10681
103	1243	10714
104	1248	10641
105	1259	10624
106	1275	10646
107	1279	10568
108	1283	10493
109	1289	10431
110	1291	10342
111	1296	10277
112	1299	10203
113	1325	10303
114	1329	10232
115	1332	10155
116	1333	10066
117	1339	10009
118	1342	9936
119	1344	9857
120	1353	9832
121	1356	9760
122	1369	9762
123	1371	9686
124	1372	9609
125	1375	9539
126	1379	9484
127	1381	9413
128	1384	9349
129	1386	9281
130	1389	9214
131	1390	9146
132	1395	9097
133	1397	9032
134	1399	8970
135	1402	8910
136	1404	8848
137	1411	8817
138	1413	8758
139	1416	8698
140	1418	8639
141	1419	8577
142	1421	8516
143	1425	8473
144	1427	8416
145	1429	8361
146	1431	8305
147	1433	8251
148	1435	8200
149	1441	8166
150	1443	8114
151	1445	8063
152	1447	8012
153	1449	7961
154	1451	7911
155	1455	7874
156	1457	7825
157	1459	7777
158	1461	7728
159	1463	7683
160	1464	7634
161	1471	7611
162	1474	7570
163	1477	7529
164	1480	7490
165	1489	7481
166	1491	7437
167	1493	7395
168	1497	7363
169	1501	7331
170	1503	7290
171	1505	7249
172	1507	7207
173	1509	7165
174	1510	7122
175	1512	7081
176	1514	7042
177	1516	7004
178	1518	6966
179	1520	6928
180	1538	6960
181	1546	6952
182	1549	6919
183	1552	6883
184	1558	6864
185	1560	6828
186	1562	6792
187	1565	6762
188	1567	6728
189	1569	6692
190	1571	6658
191	1573	6623
192	1575	6588
193	1577	6555
194	1579	6522
195	1582	6491
196	1584	6458
197	1586	6426
198	1588	6393
199	1590	6363
200	1598	6352
201	1599	6320
202	1601	6289
203	1603	6258
204	1605	6226
205	1609	6203
206	1611	6173
207	1613	6142
208	1615	6112
209	1617	6083
210	1619	6055
211	1624	6037
212	1626	6008
213	1628	5980
214	1633	5962
215	1635	5935
216	1642	5924
217	1647	5909
218	1650	5886
219	1657	5877
220	1661	5855
221	1663	5830
222	1665	5804
223	1668	5778
224	1670	5754
225	1673	5730
226	1676	5709
227	1678	5683
228	1680	5657
229	1685	5641
230	1686	5615
231	1688	5590
232	1690	5565
233	1692	5540
234	1694	5515
235	1699	5503
236	1701	5478
237	1703	5453
238	1704	5428
239	1706	5404
240	1708	5381
241	1710	5356
242	1720	5360
243	1722	5338
244	1724	5315
245	1728	5297
246	1730	5275
247	1732	5252
248	1733	5229
249	1735	5206
250	1737	5184
251	1740	5166
252	1746	5157
253	1748	5135
254	1749	5112
255	1751	5090
256	1754	5071
257	1756	5051
258	1760	5036
259	1762	5015
260	1764	4995
261	1767	4979
262	1770	4961
263	1776	4953
264	1780	4938
265	1783	4922
266	1797	4935
267	1799	4916
268	1809	4916
269	1811	4898
270	1813	4878
271	1815	4857
272	1816	4837
273	1827	4842
274	1829	4823
275	1831	4804
276	1845	4816
277	1847	4797
278	1862	4813
279	1864	4795
280	1876	4801
281	1878	4781
282	1879	4762
283	1892	4771
284	1894	4752
285	1896	4733
286	1902	4725
287	1908	4718
288	1910	4700
289	1922	4707
290	1924	4689
291	1926	4671
292	1931	4660
293	1933	4643
294	1935	4624
295	1936	4605
296	1938	4587
297	1940	4571
298	1942	4553
299	1948	4546
300	1950	4529
301	1952	4513
302	1955	4499
303	1957	4481
304	1965	4478
305	1971	4470
306	1973	4454
307	1976	4441
308	1982	4433
309	1984	4416
310	1985	4399
311	1987	4381
312	1988	4365
313	1995	4358
314	1996	4342
315	1999	4328
316	2001	4312
317	2003	4296
318	2004	4279
319	2008	4268
320	2010	4252
321	2013	4239
322	2017	4229
323	2023	4221
324	2025	4206
325	2027	4191
326	2029	4176
327	2030	4160
328	2032	4145
329	2034	4130
330	2045	4133
331	2047	4119
332	2049	4105
333	2054	4096
334	2056	4082
335	2058	4068
336	2061	4055
337	2063	4040
338	2064	4026
339	2069	4017
340	2071	4003
341	2073	3989
342	2075	3975
343	2077	3961
344	2079	3948
345	2087	3944
346	2089	3931
347	2090	3917
348	2092	3903
349	2093	3888
350	2098	3879
351	2099	3865
352	2101	3852
353	2106	3843
354	2107	3829
355	2109	3816
356	2122	3822
357	2124	3809
358	2127	3797
359	2129	3786
360	2131	3772
361	2133	3759
362	2134	3746
363	2136	3733
364	2140	3724
365	2153	3729
366	2155	3717
367	2158	3706
368	2170	3711
369	2172	3699
370	2182	3699
371	2185	3689
372	2187	3677
373	2202	3686
374	2206	3677
375	2214	3675
376	2221	3671
377	2225	3661
378	2227	3649
379	2273	3709
380	2293	3726
381	2300	3721
382	2417	3894
383	2419	3881
384	2439	3897
385	2452	3900
386	2455	3889
387	2467	3892
388	2469	3879
389	2471	3866
390	2476	3857
391	2481	3849
392	2483	3835
393	2484	3822
394	2486	3808
395	2501	3815
396	2515	3820
397	2517	3807
398	2518	3794
399	2531	3796
400	2533	3784
401	2540	3778
402	2543	3768
403	2546	3756
404	2548	3744
