iter	Passed	Remaining
0	4	474
1	9	472
2	15	503
3	19	467
4	22	423
5	24	384
6	26	356
7	29	334
8	31	317
9	33	302
10	36	294
11	39	286
12	41	277
13	43	268
14	45	259
15	48	252
16	50	244
17	51	234
18	52	225
19	54	217
20	55	209
21	56	201
22	58	195
23	59	188
24	60	182
25	62	177
26	63	172
27	65	167
28	66	163
29	68	158
30	69	154
31	70	150
32	72	146
33	73	142
34	74	139
35	76	135
36	77	132
37	78	128
38	80	125
39	81	122
40	82	119
41	83	115
42	84	112
43	85	109
44	87	106
45	88	103
46	89	101
47	90	98
48	92	95
49	93	93
50	94	90
51	96	88
52	97	86
53	99	84
54	100	82
55	101	79
56	102	77
57	103	75
58	105	73
59	106	70
60	107	68
61	108	66
62	110	64
63	111	62
64	112	60
65	114	58
66	115	56
67	116	54
68	117	52
69	118	50
70	120	49
71	121	47
72	122	45
73	123	43
74	125	41
75	126	39
76	127	38
77	128	36
78	130	34
79	132	33
80	133	31
81	135	29
82	136	27
83	137	26
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	145	16
90	147	14
91	148	12
92	149	11
93	150	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	158	0
